Code,Class,Description,Value in USD T,AAL in USD T,AAL as % of Total AAL,AAL as % of Value,Risk Rank,costMetro,costUrban,costRural
BZ,avmUCBs,Unreinforced Concrete Block masonry with lime or mortar multi family - on stilts,1289.10882,5.5302908,0.006264196,0.004290011,1,385,385,345
BZ,avsUCBs,Unreinforced Concrete Block masonry with lime or mortar single family - on stilts,63795.26005,262.4905675,0.297324768,0.004114578,2,350,350,315
BZ,avmC3s,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise - on stilts,463.41365,1.3706379,0.00155253,0.002957699,3,,,
BZ,avsC3s,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise - on stilts,8066.94444,23.0518315,0.026110959,0.002857567,4,,,
BZ,avmW7s,Wood braced frame with load-bearing infill wall system multi family - on stilts,35.75661,0.0254062,0.0000288,0.000710532,5,,,
BZ,avsW7s,Wood braced frame with load-bearing infill wall system single family - on stilts,9981.99499,7.0917145,0.008032831,0.000710451,6,,,
BZ,avsW3s,"Wood frame, prefabricated steel stud panels, wood or stucco exterior walls - multi-family - on stilts",119145.6772,81.9650127,0.092842301,0.000687939,7,235,235,210
BZ,avmW3s,"Wood frame, prefabricated steel stud panels, wood or stucco exterior walls - single-family - on stilts",1704.02151,1.1322103,0.001282462,0.000664434,8,260,260,230
BZ,avsW1s,Wood stud-wall frame with plywood/gypsum board sheathing single family - on stilts,213673.5246,140.9835063,0.159692932,0.000659808,9,375,375,340
BZ,avsS3s,Light Steel Frame single family - on stilts,301.21431,0.1913205,0.00021671,0.000635164,10,,,
BZ,avmW1s,Wood stud-wall frame with plywood/gypsum board sheathing multi family - on stilts,6220.75488,3.8215651,0.004328712,0.000614325,11,415,415,375
BZ,avmS3s,Light Steel Frame  multi family - on stilts,9.65594,0.0053369,0.00000605,0.000552706,12,,,
BZ,avmUFB,Unreinforced Fire Brick masonry multi family,581.79058,0.2270218,0.000257149,0.000390212,13,395,395,345
BZ,avmINF,Informal constructions multi family,12.8064,0.0046371,0.00000525,0.000362092,14,,,
BZ,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,60208.2234,21.2289548,0.024046175,0.000352592,15,385,385,345
BZ,avsUFB,Unreinforced Fire Brick masonry single family,4546.36943,1.4256868,0.001614885,0.000313588,16,350,350,315
BZ,avsINF,Informal constructions single family,847.76061,0.2456434,0.000278242,0.000289756,17,,,
BZ,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,596614.0129,164.2165437,0.186009144,0.000275248,18,350,350,315
BZ,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,35731.98158,8.7729262,0.00993715,0.00024552,19,450,450,405
BZ,avmUNKN,Unknown multi-family,343.93561,0.0821786,0.0000931,0.000238936,20,,,
BZ,avmRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms multi family,10399.99201,2.4769857,0.002805698,0.000238172,27,,,
BZ,avsUNKN,Unknown single-family,7592.09994,1.5306538,0.001733781,0.000201611,21,,,
BZ,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,149389.4299,29.1730547,0.033044508,0.000195282,22,410,410,370
BZ,avsRM1,Reinforced mas. bearing walls with wood/metal deck diaphragms single family,52635.64553,9.9323494,0.011250437,0.0001887,29,,,
BZ,avcomret,Commercial retail,89156.2372,11.672814,0.013221872,0.000130925,23,,,
BZ,avindustr,General industrial,112047.0273,14.1528088,0.016030978,0.000126311,24,,,
BZ,avcomm,Commercial or other types of warehouse,105427.5525,12.8332905,0.014536351,0.000121726,25,,,
