id,conversionCost,buildingChangeAAL,overallChangeAAL,breakEven,buildingFrom,buildingTo
CR-A,1341.74,0.46,0.03,712.12,Wood stud-wall frame with plywood/gypsum board sheathing,Steel light frame
CR-C,665.84,0.46,0.02,803.02,Wood stud-wall frame with plywood/gypsum board sheathing,Steel light frame
CR-G,1246.15,0.53,0.07,430.15,Wood stud-wall frame with plywood/gypsum board sheathing,Steel light frame
CR-H,687.57,0.45,0.02,778.65,Wood stud-wall frame with plywood/gypsum board sheathing,Steel light frame
CR-L,675.03,0.55,0.04,1521.65,Wood stud-wall frame with plywood/gypsum board sheathing,Steel light frame
CR-P,1451.94,0.48,0.05,678.71,Wood stud-wall frame with plywood/gypsum board sheathing,Steel light frame
CR-SJ,1990.83,0.47,0.02,645.62,Wood stud-wall frame with plywood/gypsum board sheathing,Steel light frame
GT-AV,479.66,0.28,0.08,1419.83,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-BV,126.52,0.33,0.1,745.57,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-CM,477.61,0.27,0.07,452.71,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-CQ,279.49,0.34,0.1,930.56,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-PR,186.95,0.31,0.1,802.35,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-ES,904.39,0.35,0.1,243.52,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-GU,881.73,0.27,0.01,511.49,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-HU,791.08,0.27,0.08,1151.38,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-IZ,566.52,0.28,0.08,1895.58,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-JA,198.28,0.32,0.09,668.61,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-JU,389.01,0.33,0.1,449.3,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-PE,526.87,0.35,0.11,5831.33,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-QZ,626.63,0.29,0.06,468.1,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-QC,581.63,0.19,0.06,1157.82,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-RE,251.16,0.36,0.1,275.08,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-SA,94.42,0.3,0.02,364.2,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-SM,623.02,0.28,0.07,606.79,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-SR,277.6,0.3,0.09,340.58,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-SO,303.87,0.28,0.07,404.87,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-SU,411.51,0.33,0.09,299.97,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-TO,256.66,0.28,0.06,568.57,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
GT-ZA,300.26,0.33,0.09,1040.62,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-AT,632.82,0.29,0.11,9381.78,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-CH,334.95,0.16,0.05,1930.8,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-CL,416.13,-0.09,-0.03, WORSE ,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-CM,409.36,-0.01,0, WORSE ,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-CP,552.55,0.16,0.06,3870.97,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-CR,1212.69,0.1,0.02,10050.84,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-EP,381.21,0.27,0.1,7745.39,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-FM,929.49,0.11,0.02,12184.52,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-GD,220.95,0.15,#DIV/0!,73979.6,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-IN,78.96,0.28,0.11,1460.51,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-IB,57.84,0,#DIV/0!,742587.59,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-LP,95.23,0.28,0.1,2300.41,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-LE,242.42,0.24,0.12,1844.17,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-OC,257.02,0.14,0.06,2866.29,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-OL,522.25,0.29,0.13,20314.63,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-SB,397.49,0.16,0.06,4984.06,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-VA,160.35,0.21,0.09,1229.51,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
HN-YO,809.15,-0.05,-0.02, WORSE ,"Adobe block, mud mortar, wood",Reinforced masonry bearing walls with concrete diaphragms
NI-AN,107.95,0.23,0.04,28941.98,Multiple Building Types,Reinforced masonry bearing walls with concrete diaphragms
NI-AS,157.59,0.28,0.04,10737.65,Multiple Building Types,Reinforced masonry bearing walls with concrete diaphragms
NI-BO,28.25,0.45,0.08,739.86,Multiple Building Types,Reinforced masonry bearing walls with concrete diaphragms
NI-CA,56.14,0.39,0.07,182.66,Multiple Building Types,Reinforced masonry bearing walls with concrete diaphragms
NI-CI,142.88,0.3,0.05,263.37,Multiple Building Types,Reinforced masonry bearing walls with concrete diaphragms
NI-CO,37.67,0.31,0.04,1962.13,Multiple Building Types,Reinforced masonry bearing walls with concrete diaphragms
NI-ES,80.77,0.35,0.05,1690.72,Multiple Building Types,Reinforced masonry bearing walls with concrete diaphragms
NI-GR,69.17,0.34,0.06,267.04,Multiple Building Types,Reinforced masonry bearing walls with concrete diaphragms
NI-JI,64.11,0.18,0.02,8669.5,Multiple Building Types,Reinforced masonry bearing walls with concrete diaphragms
NI-LE,165.7,0.32,0.06,228.53,Multiple Building Types,Reinforced masonry bearing walls with concrete diaphragms
NI-MD,32.06,0.38,0.06,2367.96,Multiple Building Types,Reinforced masonry bearing walls with concrete diaphragms
NI-MN,152.11,0.32,0.01,272.28,Multiple Building Types,Reinforced masonry bearing walls with concrete diaphragms
